text,label
"I agree that would be the way to go but so many college teams use the spread offense that it really reduces the number of NFL style college QBs available.  What is really ironic is that Trevor was platooned at Northwestern and even lost half his senior season to injury, and yet, here he is. LOL",0
"Sorry formerlyrb, most of the hatred comes from people like you.  I'm sure I have lived longer in Alberta than you.  I love the Province, but your hatred and bitterness is embarrassing to me and many Albertans.",0
"Lizzie,

It isn't hyperbole. The default state is liberty. The burden is on those who -support- registries (of any kind), which unarguably consume public monies, take up valuable and limited law enforcement resources and time, and put the personal information of innocent people at risk of exposure or misuse (which sets aside arguments over the infringements on the peaceable exercise of fundamental rights uniformly involved), to produce evidence to support their claims about the countervailing benefits of such registries.

Certainly Bloomberg et al would be trotting out such evidence if it existed. Fact is, Maryland eliminated its ballistic registry as a waste of time and money, Canada repealed its long gun registry as a waste of time and money (and the RCMP confirmed the handgun registry hadn't proven a useful law enforcement tool). There's no evidence from the UK or AUS of any public safety effect (except enabling confiscation, if that is an admitted goal). Registries just don't work.",0
I will sign the petition and I vote for this!! This idea is long overdue for this city government!!,0
"There is no one ""real reason."" That sort of reductionism is either evidence of a monomaniacal focus, or self-serving - or both. Trying to disentangle the various threads (political, religious, economic, psychological) in the mideast, and say, ""You see? This is the one!"" is a fool's game.

One thing that struck me about the piece is that the author recognised that the after affects of further and increased instability included post-traumatic effects on the individual, which will in turn bring further socio-political instability. The post-traumatic mind is fertile ground for radicalisation.

For a brief, and necessarily selective piece, well done. Bring Degennaro back.",1
"Numbskull, good retort. Forget the growing season argument and you article and responses still lack adherence to scientific theory. I get you don't get my last point about your claim that rams are still ""big horned"" which would lead us to believe they are well fed, but your articles premise is a lack of food...you sir are a hack!",0
"I don't think that's a problem at LCC or other publicly funded colleges. LCC is largely vocational degrees, meaning it serves to give the community specialized workers (better higher paying jobs). 

If your main issue is the economy I'm not seeing how the issues with K-12 are translating to LCC not deserving more money, or how that helps anyone living here and paying taxes.",0
"Slick Sid Ryan, one of the short listed contenders for the title of most reviled Canadian public sector union leader ever, has run for and failed to get elected to at least two levels of government.

He is not electable even as an MP or MPP let alone as a party leader and PM in waiting.

I agree with you that Angus would beat Ryan on a bad or any other day.

So would several others already in the NDP caucus.

Being usually a CPC supporter, I earnestly hope Ryan will not win the NDP party leadership.

Both federally in 2019 and in Ontario in 2018, Conservative fortunes hinge on several things but certainly one key thing is to have a revitalized NDP that will once again be competitive with the Liberals and split the centre left vote accordingly.

With Ryan as their leader, the NDP will be a distant third federally and will also be damaged in Ontario.

Let us therefore cheer on ABS  (Anybody But Sid) as the new NDP leader.

Come on there, Dippers, be sure to STICK IT TO SID.",0
"TheDonald's main point in a plan is to getting Rates down, by having health plan competition across States lines. As a business man, it's not about politics but to save the Country and it's citizens MONEY! just like running a business",0
"Right just like when Chretien was enforcing rules on the civil service such that you couldn't even accept a coffee cup from a vendor, but had no problem with Bell paying $16,000 so he could play golf with Tiger Woods
http://www.theglobeandmail.com/news/national/chretiens-golf-with-tiger-sparks-ethics-complaint/article4157240/",0
"It's not like they suddenly have to pay taxes.  Before raising the tax rate on income above $220,000 to 53%, they were already paying 48%.  I would guess that any specialist who is that frustrated about paying taxes is already not squeezing in extra patients.",0
"C'mon, now. Something ain't right here. This is a White House that not only can't walk and chew gum at the same time—it gets the gum stuck on the bottom of its shoe, trips on the way to the bathroom, and stumbles head first into the commode. It’s the same team that invited House Intelligence chair Devin Nunes over to the White House for a little CYA on Trump's false ""wire tapp"" claims, only to have it blow up in their face and take down Nunes along the way.





The Trump-Russia investigation under Comey, whatever we may think of him, appears to have uniquely focused the Trump administration. Now, Sessions—the guy who recused himself from those investigations for lying about his Russia contacts—seems to have built a methodical case for firing the guy who was in charge of those investigations.

To state the obvious, nothing about that chain of events inspires confidence.",0
"No threats against people, no need for police. Stop blaming the victims.

And using an empty classroom for 15 minutes does not cost tax dollars.",0
"If you want to watch it on CTV, be my guest.  I will watch it on FOX.  That is called free choice, something not given to Canadian viewers for a long time.  Technology has left the big networks to wallow in the mud due to their own inaction.",0
She's preparing for the one in June.,0
"Very good question SC Adams.

That Section of Constitution was created by Ballot Measure 8 which the voters passed in 1994.

However, even though that measure was a constitutional amendment, the Oregon Supreme later threw the change out. They ruled that langauge violated the US Constitution's contract clause.

So even though it's in Oregon's Constitution, it's not enforceable.

The situation is explained, briefly, here, under the 1990s section:

https://www.oregon.gov/pers/section/general_information/history_8_6_2012.pdf",0
"David -That's really unfortunate.  As a life-long Alaskan, that's not how I was raised and would never discriminate like that with my rentals.  I look for responsible tenants and could care less what kind of race the people are.",0
"Everything used to be under the covers, we knew certain things but didn't talk about it. Now, with the internet everything bubbles up, we can not pretend we do not know anymore. 
-
Look at Toronto, the great multi-culture example for the world. Well there has always been ghettos of cultures and races. The diversity was moderate, people pretended to get along, they tolerated but they always bought houses in their own ghetto, their kids married with in their own culture and it still the same. Now we are being forced, being shamed into diversity - it's not going to end well.",0
Flat out false about the Clinton Foundation. (Charity Watch gives them an A.) But posting demonstrably false information seems in keeping with someone who thinks Sandy Hook was a government hoax.,0
I don't believe God is going to grant any peace to one who volunteers at the baby killing facility.,0
"Ellison is celebrating people losing their jobs! Either that or he's woefully uninformed. At worst, many who are celebrating the raise in the minimum wage will soon be unemployed, many others will have their hours cut IF they keep the job.

Employers don't have bags of money sitting around to begin handing out as government demands. Most small businesses work hard just to get by. Artificially higher wages force them to cut back on the number of employees they pay and/or the hours they work, raise prices if the market will bear it, or go belly up.

Look at Seattle. After they passed the higher minimum wage, many small businesses closed. Jobs were lost. Those who who worked for those businesses and expected to make more money, ended up making none. The number of workers fell, the number of hours of most employees fell. Few people benefited. Many were hurt.

The market knows more about business than politicians and people who stomp their feet and demand more. It's economic reality, folks.",0
"Hey...what's that cicl-click-click sound.

Of course!  A computer keyboard, punched by a cackling, tell-all author who can't wait for the right time to publish the first (of many) blockbuster (""failing"") New York Times best-sellers on the weird, wacky world of the White House.",0
"I commented on this 2 days ago and there were others as well.
Wonder why the scrub?",0
"Yeah, I'll probably watch this...and learn lots, too.  Not just about the two main ""characters"" profiled, but the music scene in the 90s. Nearing 71 and I'm still discovering stuff, a little belatedly these days (Just heard my first Arcade Fire--really good.  Especially like their new hit, Everything Now. Don't know who produced that--the band itself, maybe?)  Also liked the newest Paul Simon, Stranger to Stranger. Producers? ""Paul and his old partner, Roy Halee."" Halee --all Simon and Garfunkel work--he knows sound (went to Africa with Simon. Result? Rhythm of the Saints.) 

Dozens who were obsessed with aural made memorable hits, in an age when NOBODY knew producers behind the board, only the ""artists"" behind the microphone.  Some examples: Shadow Morton (Shangri-Las); Bob Crew (Freddy Cannon, Four Seasons); Dave Clark (Dave Clark 5--the songs STILL punch today); Frank Guida (Gary U.S. Bonds). 

Lyrics and voices? Sure.  But over and above it was the sound...ALWAYS the sound.",0
"I think Mark Twain had a great line about stats. ""There are three kinds of lies: lies, damned lies, and statistics.""",1
"Just because natural variation in the amount of energy we get from the sun (called 'insolation') has driven climate change in the past, doesn't mean that's what's going on today.
.
Right now insolation is going *down*, and the planet *should* be cooling, but it's not. It's not, because heating from CO2 is overwhelming the cooling from decreased insolation.
.
Here’s a simple proof of global warming that doesn't depend on any assumptions or predictions:
.
1st. CO2 levels have been rising sharply ever since the industrial revolution, when we started releasing massive amounts of stored carbon. This graph shows what that looks like. Note the sharp spike on the right hand side:
https://scripps.ucsd.edu/programs/keelingcurve/wp-content/plugins/sio-bluemoon/graphs/co2_10k.png
.
2nd. CO2 traps heat. The more CO2, the more heat.
.
You can't fight physics, if we're trapping more heat, then the planet is heating up.",0
"Many parks (green spaces) within cities amount to wasted space that should be developed. A proper survey of their usage would show us this, yet I've never seen or heard of anyone monitoring green space usage.

The cost to maintain under used green spaces is a burden property taxpayers shouldn't have to shoulder.

In many cases it would be better if we partnered with school boards in the creation of parks on school property. The green space schools create could double as parks. This would ensure that green space usage is maximized.",0
"Actually there are only four ridings that could conceivably flip if you look at past elections and the shifts.  Absentee ballots tend to lean NDP, but not always so below are the four that could flip.

Courtenay-Comox (NDP by 9 votes)
Maple Ridge-Mission (NDP by 120 votes)
Coquitlam-Burke Mountain (BC Liberals by 170 votes)
Richmond-Queensborough (BC Liberals by 263 votes)

All the others are over 500 vote differences and the Greens did not come within a 1,000 votes in any other riding besides the three they won, so NDP anywhere from 39-43 seats, BC Liberals anywhere from 41-45 seats.  The second and last are unlikely to flip, third is possible, while first is the most likely of them all but no guarantee.",0
Freedom of assembly does not mean you can trample the rights of others.,0
"Twelve years ago, federal and state officials and some of California’s largest water agencies rejected concerns that the massive earthen spillway at Oroville Dam — at risk of collapse Sunday night and prompting the evacuation of 185,000 people — could erode during heavy winter rains and cause a catastrophe.  Three environmental groups — the Friends of the River, the Sierra Club and the South Yuba Citizens League — filed a motion with the federal government on Oct. 17, 2005, as part of Oroville Dam’s relicensing process, urging federal officials to require that the dam’s emergency spillway be armored with concrete, rather than remain as an earthen hillside.",0
Cannabis retail sales are regulated in the state of Oregon. All I ask is the same for firearm retail sales. Stores that sell only firearms and related products. Be of legal age to inter and purchase. Have proper ID. One reason cannabis is regulated in retail stores is to limit exposure to children. All I ask is the same when it comes firearm retail sales. Yes I know a child can not purchase a firearm at  a big box store. It's the exposure of  the firearm. Just not the right venue. Just as retail sales of cannabis in big box stores is not the right venue. Regulated Gun shops for Guns. Regulated Cannabis shops for cannabis.  I support ones right to own firearms. I don't support sales of firearms in a improper venue.,0
The real smoking gun.,0
"Justin has failed at every measurable task he has taken on whether it be the budget, electorial reform or ethics.  He has only excelled at over spending, spending as few days in the house as possible, dividing the nation, over taxing and selfies.   He is terrible for Canada.",0
"Rob,

I'm not agnostic, I'm Christian first of all.  Second, I have no idea what scientific evidence would look like that could prove/disprove the existence of God/gods.  That's because it's not a scientific question.  Also, I challenge you to present even one element of what you refer to as ""the overwhelming preponderance of evidence [that] indicates that tehre is no God.""  Amazing that you state this as so obvious, yet I can't think of one single think that would support this supposed ""preponderance.""  Finally, I don't luxuriate in the faux superiority of agnosticism as I'm not agnostic but I do respect scientists who are intelligent enough to recognize that the existence of God/gods is not a scientific question and thereby acknowledge this through their agnosticism.  That is rational if nothing else.",0
"There are no ""assumptions""  in my first post.....read it again. And you are the last person that would ""offend"" me in this matter. You are a drug user, you look at taking drugs as a good thing, I see taking drugs as not a good thing, for a variety of reasons, not the least of which the number of deadbeats that live in this city that are addicted to them...",0
"Trump has no plans to do any Infrastructure improvements,

it's all part of a scam for he and his cronies to profit from public works.

This is just more of his grifting and freeloading.

But you can bet his 'supporters' will lap it right up.

Trump laughs at the rubes every day.

Weak.

Sad.",0
No charging station in Brandon to my knowledge.  Still waiting for an address for one in Winnipeg so that I can park my F-350 in front of it so that I can show the grand children where the gubbermint squandered their money and sewered their future.,0
"It's very telling that the Russians, and their ""new generation warfare"", which is part of their ""strategy of influence"", designed to ""collapse a country from within"", had picked the Trumpster as the candidate most likely to help them achieve their goal, if elected president of the United States. Very telling indeed.",0
"What a load of left-wing bollocks!
Matell can blame itself for that deal and O'Leary walked away with millions. 
Post something less left-wing next time.",0
"Mazie Hirono is doing Hawaii a disservice by commenting on this the way she did.  If Clinton was elected, thank God she wasn't, she would've fired Comey instantly.  Hirono would've praised his firing if Clinton did it.  
Now that President Trump did the firing, she acts like all the rest of the pitiful cry baby DemocRats.

I don't claim to be Democrat or Republican, but after this past Presidential election, the cloud is clearing for me and I'd be ashamed to act anything like a Democrat.  Get over it already and support your POTUS!  That's the American thing to do!!!",0
"Suggestions:
- Family Incomes of $400K or less, the inclusion rate on Capital Gains (CG) the taxable portion should drop to 45% on the first $500K of CG in that year,then rise to the current 50% above $500K.
- Family Income of $400K or less the Dividend Tax should be a simple net 10% Tax on a Dollar Dividend Income earned . No Gross up, No creative right-offs for Dividend Income,therefore you make a $1.00 of Dividend Income you pay 10% Divi Tax net to CRA and 15% for > $400K incomes.
- Family Income of $400K or less the Real Estate Investment CG will drop to 45% on the 1st $250K then rise to 52%. (not apply to REIT investments)
- House Flippers #1 Rule : sell in 365 Days, a net 10% House Flipper Tax to CRA on Gains + no CG relief therefore add Gains as personal Income from your real estate investment.
- House Flippers #2 Rule: sell in 2 years, a net 5% Tax to CRA on Gains + 52% Capital Gains Inclusion Rate. (rule # 2 does not apply for job moves, divorce , loss of job etc.. )",0
"One quick addendum- zoning ordinances should be brought to play when development is pending. Through a process of reviewing feasibility, not through flat limitation.",0
"Jack, that's a good idea but if you noticed voting doesn't mean anything with this bunch of jackals that are in power now. Case in point, didn't we vote on the $500 contribution limit? Another thing after the Glass building wouldn't you think that it would be embarrassing to keep pressing this issue before settling the budget  problem. These people are beyond comprehension. Have you ever heard any of them say the Atwood building is not good enough or why? Who do they think they are?",0
"Mueller is not a special prosecutor, Anna Giaritelli, he's a special counsel. Big difference. What he is investigating is not a criminal matter, rather it is a counter-intelligence investigation into whether the Russians tried to, or did, influence our election. Please try not to be like all the rest of the biased and leftist journalists (and I use that term loosely) out there in the swamp.",0
"http://www.seattletimes.com/seattle-news/health/is-vancouvers-safe-drug-use-site-a-good-model-for-seattle/
""Although research appears to bear that out, many of the studies that attest to Insite’s success are small and limited to the years after the center opened. For instance, a 2011 study published in the journal The Lancet found a 35 percent reduction in overdose deaths in the blocks surrounding Insite, versus 9 percent in the rest of Vancouver.

But that often-cited study looked only at the period two years before and two years after the center opened, not the ensuing decade.""

http://www.seattletimes.com/seattle-news/health/is-vancouvers-safe-drug-use-site-a-good-model-for-seattle/       

""Although Insite is paired with a drug-treatment center, called Onsite, Berner and other critics point out that completion rates are low. Of the 6,500 people who visited Insite last year, 464 were referred to Onsite’s detox center. Of those, 252 finished treatment.""",0
"I continue to pray for you, despite your statement a few days ago that you don't need my prayers. I just ask the Lord to help you, not for anything specific. I also continue to hope others will join me.",0
"""Trump's approval has hit a new low of 35%. It was 36% on Monday.""

--

Surprisingly high considering his disastrous performance so far.

What does he have to do to clue in that 35%?",0
"""Trump is about to cause a whole new set of problems""

Well he's avoided two for sure, and you should be thankful for that.  The first is a no-fly zone in Syria which his opponent said was her ""number one priority"" just 1 week before the election.  For those of you who don't know, a ""no fly zone"" simply means she wanted to shoot down Russian airplanes.  We have no known examples of a no-fly zone not leading to war.  There are none in history that we can look at.  Every single no-fly zone in history has lead to war.  So Trump avoided a pointless war in Syria that almost certainly would not have accomplished anything substantive (much like the Rape of Libya, another one of Hillary's blunders).  

Secondly, he's avoided conflict with Russia.  Though the establishment elites desperately want to box him in on this issue (we just sent troops to Poland), Trump genuinely desires peace and cooperation with Russia, which makes the Military-Industrial Complex furious.",0
Chris Pratt,0
"I guess we have it coming then.  And perhaps we deserve to be invaded too.  And our leaders executed. And our country nuked.  Because we've done it to others in the past.

Listen to yourself.  Seriously. Are you an American?",0
Now jus.t why would a Democrat condemn their left arm,0
"Maybe in a thousand years women in Muslim sharia countries will be up to as much has 3/4 of the value of a man, instead of the current limit of  1/2 they are now. How much value does Justin put on his own wife?",0
Where does he think the money he receives comes from?,0
"Not only are the Liberals opening up the possibility of letting the fox in the hen house, they are potentially giving the fox the keys to all the other hen houses across Canada.",0
"Well, less about 23 million insured, and with higher rates. With no mandate, the whole thing will collapse. No problem, they'll just blame it on Democrats.",0
"Liberals and conservatives may not agree on much, but they generally support the entire Bill of Rights. The Bill is a series of protections from government overreach. Police are curtailed from many behaviors by the Bill of Rights.",0
"The sad thing is to watch people using their 401K to invest in the stock market with tax deferred money. Then when they retire they are forced by law to distribute a set percentage of their 401K and the stock capital gains in your 401K get taxed at ordinary income rates. The biggest tax benefit you get in upper brackets is the ability to lower ordinary income and maximize capital gains and cut the tax on your gains. Or you can structure business deals (of the right kind) that pay you under a deferred interest arrangement- you gain leverage, plus You deferrer tax but only pay capital gains (like Romney and most likely Kushner and Trump and many other developers. Middle class ordinary income taxes help pay for deferred interest and capital gains in the top brackets.",0
"It is the Donald that is so upset.  I am just sitting back and enjoying the show.  This is better than professional wrestling.  lol

You poor Trump supporters.  You now have to defend this clown along with his Russian corruption.",1
"It also matters that the source you quote is anti-abortion, a part of the anti-abortion crowd, and uses Brookings, an anti-abortion organization, as a source.  tit for tat doesn't lend any greater credence to your cite than it disproves Guttmacher's.  It just suggests that both sources are grinding their own axes.

It doesn't matter, Pandora.  Trying to point to which group has the most abortions does not answer the need of the other groups.  What about the middle class, the non-poor and non-rich?
  
The reasons women abort are many and personal.  Want to have a real impact on abortions?  Support the availability of effective contraceptives, widespread good sex education.  Want to control another persons body?  Then pay for it.  

We have yet to find the balance of justice for the unborn and justice for the woman.  Whatever balance is found probably won't fully satisfy either side.  I think artificial wombs are one possibility for the anti-abortion crowd, as long as they pay for it.",0
Trump's personal lawyer is soooo dumb.,1
What's wrong with Kayaks?,0
"""Moreover, I also would have expected some grand jury indictments to be in laid against Trump ....""

He's a sitting POTUS, immune from indictments while in office.",0
"Their attitude of ""it's all about me""!!!",0
"Nation creating is problematical as is keeping it.  The Samoa/Tahiti migration of Paao&Pili forever changed Hawaii's native civilization to one of infighting kings and queens over governance.  Due Pili (Tahitian descendant Kalakaua via his Kumulipo) and Paao (Samoan descendant Hewahewa), the Big Isle Umi-a-Liloa lineage (Keawe/Kanaloakuaana) was always ""low"" (wohi) compared to the Ohua-Maweke (Kakuhihewa, Paki, Ke'alohilani, etc).  Pai'ea (Kam I) eternally had assassins against the Paki, for example, from Maui to Kauai, obliterated them with cannons at Iao Valley. Cook first found a wonderful, yet politically degraded society (although ensuing colonial society proved as wonderful and degraded).  Ruth (Keelikolani) was ostracized of the Royal Family via Kam III's first Constitution.  She and Emma intensely resented Kalakaua, despite their aloha as Hawaiians.  It takes much more competence than this article to express the matters of Liliuokalani (Moana-wahine).",0
"“which the Kremlin actively supports”

I agree the re-emergence of the far-right is a menace few gave acknowledged until the election of Trump, but to lay this at the feet of Russia? 

That’s ludicrous.

The far-right worldwide was initially emboldened by Bush/PNAC, and fed on the lies and hate it disseminated in order to enable its wanton aggression throughout the ME. 

As part of its campaign to undermine Russia (and China) as US/EU power wanes – largely due to the same factors listed above – the US has backed far-right regimes, most notably the one it installed in Ukraine, as well as far-right paramilitaries, including Neo-Nazis, which it used to oust the country’s democratically-elected government, then when much of the country’s military defected, to wage war on the Ukrainians opposed to what’s happened since the coup.

Shamefully, we've been training people to fight alongside.

In fact, the US has always backed and installed far-right regimes in order to dominate foreign states.",0
"Is it just that we now have more abundant reporting of earthquakes, or has the number of magnitude 4+ quakes along the North American plate been increasing dramatically over the past decade or so? Perhaps the disasters in Japan and the boxing day tsunami coupled with the article about the history of the Cascadia fault has just brought on more attention, but it would be interesting to know.",0
"I wonder if aquinas and augustine had daughters they would have not said such 'it's alright to throw women to the lust of men' in order to keep civil order to their minds. 

But then there's Lot and what he did to his daughters. 

I guarantee a mother who loves and protects her daughters would never agree with A and A, in fact, they would be not honored in any way, for they dishonor half the human race with such vulgar ideas that women should be used to keep MEN from ' world convulsed in lust'. Old story. Still stinks of racism, slavery and holding women as less, AND as responsible to take care of men, to lose their souls, so 'civil peace' can be better controlled.

Complete hogwash, intense poverty of thought.",0
"In regards to the NFL management.. it does seem that ""the inmates are running the asylum"".   LOL.  LOL.  LOL.",0
"That's not exactly accurate. Collectively, they held dubious positions on religious liberty, the superseding of the Old Covenant, the dogma of Extra Eclessia Nulla Salus, etc.",0
"I have never had enough money and never will have enough to worry about the estate tax.  

I still believe that everyone who has legally made money should be taxed on that money only once--salary, capital gains, interest----whatever.  Tax it and then whatever is left is yours to do with as you please. 

Once you have paid all those taxes, there should not be an additional tax just because you die.",0
So people with skin colours other than white can't wear that culture's clothes?,0
Hilarious !!!!,0
"The rail is what's bringing this state out of recession, pull the plug on rail and the developments in kapolei/kakaako go away and we're back to the stagnation of the 90's and 2000's.",0
"Ummm...how about, that he (Trump) tried to obstruct justice by trying to get Comey to drop an ongoing investigation into Mike Flynn...",0
Yes these resources are renewable. There is a little utilization with all having a moose die of old age and rot likewise the trees. These renewable resources can be utilized managed and protected.,0
Now we need Westjet to get on board and cancel their order for the 787's.,0
"What's wrong? Does it bother you that, all his political correctness notwithstanding,  Trudeau has more in common with Trump than with the average Canadian? If silly remarks were an Olympic event, Trudeau and Trump would have to share the gold medal.",0
"And we look to models of - what did you say- ""comprehensive and sustainable solution"", where? There are- to some argument in your stumping for ""our"" ( like ""we"") ""paying fair share""- some reasonable ideas regarding corporate tax.  There is little counter, I believe, to sum that ""maximum benefit"" of resources has, and remains, seriously amiss as to intent.  The great error of this age with regard to finding equitable and just distribution of wealth- if it is presumed to be of established aspiration- is in the assumption that certain forms of taxation are justified in their ends in defiance of the most axiomatic, categorical, precepts of greater justice.  The flaw of divining  ""consent"" from forced allocation of resources, that force substantially based upon arbitrary presumption,  constitutes a paramount violation of first principle.  Try as you may, it cannot be altered to favor, and the results in consequence to society are manifest.  ""Funding"" is not THE solution. Think systemic!",0
"Before money is expended for a baseball team perhaps the ""powers-that-be"" should check out the failure of the Chukchansi Baseball field in Fresno CA.  The City of Fresno is out of a lot of tax payer money because of the hype of income generation failed to occur.",0
Amazon has been profitable for the past two years...,0
"Until the 60s ""Negro"" was deemed proper and polite by White people. Let Black people refer to themselves however they want to be referred to, just as how we take the lead with Natives. Some like to be called Indians, some like to be called Native and some Aboriginal. 

Also I've never heard of a black person getting upset at being called black. I have been corrected at calling them African-American to African-Canadian..or just Canadian. Makes sense. 

Why does this need your approval?",0
"Islam means ""submission"". Muslim parents want to their daughters to marry within the faith, so forced marriages are happening in Toronto, Montreal , and everywhere to prevent girls from going astray.  A girl must submit her father, just as a wife must submit to her husband. We only pretend they are free to make their choices in life in Canada, because honour killing is still a very real fact of life for many women. The Shafia women died alone and abandoned. Not even Margret Atwood will talk about it because that would put her at odds with Islam.  Same for the Globe playing ""let's pretend they are just like us"".",0
"On several things Hillary has been vetted.  There is also a lot of accusations to come out for the general public.   Most people have forgotton the 90's accusations.  There are some things that only seem to get discussed on right-wing sites.  I agree some of this material may not be true because it is biased, but also some of it likely is true and her supporters are working overtime to keep it out of the mainstream press.  This is going to be some of the stuff that the Donald would have a field day with but other candidates might not touch.",0
"""The amount set aside for the Art-in-Transit program for in-station public art pieces is $5 million, calculated in 2009 from 1 percent of the estimated station construction costs and 1 percent of the estimated rail operations center cost, Brennan said. ""

Considering the UNKNOWN COSTS (these stations still aren't completed) and how its easily 2-3 times that as ""estimated"" in 2009, wouldn't the art budget also go up?",0
"Well, we had a good run cannabis. Once Chris Christie is appointed to the attorney general post, all this will go away and they will lock us all up and throw away the keys.",0
